configuracion,corridas,factibles_%,dura_promedio,blanda_promedio,total_mejor,total_peor,total_promedio,gen_mejor_promedio,n_cursos,estrategia,ocupacion_slots_%
8 cursos / penalizar,30,100.0,0.0,24.0,24,24,24.0,8.7,8,penalizar,40.0
8 cursos / reparar,30,100.0,0.0,24.0,24,24,24.0,4.2,8,reparar,40.0
12 cursos / penalizar,30,100.0,0.0,38.6,37,44,38.6,59.6,12,penalizar,60.0
12 cursos / reparar,30,100.0,0.0,37.0,37,37,37.0,8.1,12,reparar,60.0
16 cursos / penalizar,30,100.0,0.0,22.6,18,29,22.6,84.1,16,penalizar,80.0
16 cursos / reparar,30,100.0,0.0,18.0,18,18,18.0,6.2,16,reparar,80.0
20 cursos / penalizar,30,40.0,600.0,34.7,35,1045,634.7,94.9,20,penalizar,100.0
20 cursos / reparar,30,100.0,0.0,22.1,22,23,22.1,20.8,20,reparar,100.0
