configuracion,corridas,valor_mejor,valor_peor,valor_promedio,desviacion,peso_mejor,capacidad,gen_mejor_promedio,poblacion_valida_%,mejor_invalida_%,optimo_dp,corridas_en_optimo_%,brecha_promedio_%
un_punto / sin elitismo,30,493,479,488.8,5.29,152,152,21.7,72.0,0.0,493,50.0,0.859
un_punto / con elitismo,30,493,468,488.4,6.69,150,152,22.2,73.9,0.0,493,50.0,0.933
uniforme / sin elitismo,30,493,464,490.0,5.88,150,152,18.9,71.0,0.0,493,56.7,0.615
uniforme / con elitismo,30,493,423,486.6,12.73,150,152,15.4,76.9,0.0,493,46.7,1.305
